speakers,durations,topics,views,descriptions,tags,lengths
Erez Garty,197,Football physics The impossible free kick,2706950,In 1997 Brazilian football player Roberto Carlos set up for a 35 meter free kick with no direct line to the goal Carloss shot sent the ball flying wide of the players but just before going out of bounds it hooked to the left and soared into the net How did he do it Erez Garty describes the physics behind one of the most magnificent goals in the history of football Directed by TOGETHER narrated by Addison Anderson music by Nick Sewell,health|sports||exercise|animation|physics|science,0:03:17
Addison Anderson,258,The most groundbreaking scientist youve never heard of,2705700,Seventeenthcentury Danish geologist Nicolas Steno earned his chops at a young age studying cadavers and drawing anatomic connections between species Steno made outsized contributions to the field of geology influencing Charles Lyell James Hutton and Charles Darwin Addison Anderson recounts Stenos littleknown legacy and lauds his insistence on empiricism over blind theory Directed by Anton Bogaty narrated by Addison Anderson,history|science||geology|animation|medical research|human body|ancient world|evolution|paleontology,0:04:18
Joshua Klein,606,A thought experiment on the intelligence of crows,2699999,Hacker and writer Joshua Klein is fascinated by crows Notice the gleam of intelligence in their little black eyes After a long amateur study of corvid behavior hes come up with an elegant thought experiment a machine that could form a new bond between animal and human,animals|design|hack|intelligence|interface design|technology,0:10:06
Anand Varma,366,The first 21 days of a bees life,2699728,Weve heard that bees are disappearing But what is making bee colonies so vulnerable Photographer Anand Varma raised bees in his backyard  in front of a camera  to get an up close view This project for National Geographic gives a lyrical glimpse into a beehive and reveals one of the biggest threats to its health a mite that preys on baby bees in their first 21 days of life With footage set to music from Rob Moose and the MagikMagik Orchestra Varma shows the problem  and whats being done to solve it This talk was part of a session at TED2015 guestcurated by PopUp Magazine popupmagazinecom or popupmag on Twitter,bees|nature|photography|insects,0:06:06
Kakenya Ntaiya,916,A girl who demanded school,2698927,Kakenya Ntaiya made a deal with her father She would undergo a traditional Maasai rite of passage female circumcision if he would let her go to high school Ntaiya tells the fearless story of continuing on to college and of working with her village elders to build a school for girls in her community changing the destiny of 125 young women,Africa||activism|education|feminism|women|global development,0:15:16
Ingrid Fetell Lee,818,Where joy hides and how to find it,2693428,Cherry blossoms and rainbows bubbles and googly eyes Why do some things seem to create such universal joy In this captivating talk Ingrid Fetell Lee reveals the surprisingly tangible roots of joy and shows how we all can find  and create  more of it in the world around us,happiness|creativity|design|evolutionary psychology|evolution|humanity|nature,0:13:38
Boaz Almog,625,The levitating superconductor,2692499,How can a superthin 3inch disk levitate something 70000 times its own weight In a riveting demonstration Boaz Almog shows how a phenomenon known as quantum locking allows a superconductor disk to float over a magnetic rail  completely frictionlessly and with zero energy loss Experiment Prof Guy Deutscher Mishael Azoulay Boaz Almog of the High Tc Superconductivity Group School of Physics and Astronomy Tel Aviv University,demo|innovation|magic|physics|science|technology|energy|engineering|invention|materials|nanoscale|alternative energy|design|potential|quantum physics,0:10:25
Jared Diamond,1101,Why do societies collapse,2691597,Why do societies fail With lessons from the Norse of Iron Age Greenland deforested Easter Island and presentday Montana Jared Diamond talks about the signs that collapse is near and how  if we see it in time  we can prevent it,culture|environment|global issues|history|social change|society|technology,0:18:21
Michael C Bush,252,This is what makes employees happy at work,2690934,There are three billion working people on this planet and only 40 percent of them report being happy at work Michael C Bush shares his insights into what makes workers unhappy  and how companies can benefit their bottom lines by fostering satisfaction,happiness|work-life balance|work|business,0:04:12
Anthony Goldbloom,276,The jobs well lose to machines  and the ones we wont,2690832,Machine learning isnt just for simple tasks like assessing credit risk and sorting mail anymore  today its capable of far more complex applications like grading essays and diagnosing diseases With these advances comes an uneasy question Will a robot do your job in the future,AI|collaboration|intelligence|data|future|innovation|productivity|machine learning|programming|robots|work|technology,0:04:36
Jack Horner,1103,Where are the baby dinosaurs,2690572,In a spellbinding talk paleontologist Jack Horner tells the story of how iconoclastic thinking revealed a shocking secret about some of our most beloved dinosaurs,|biology|dinosaurs|paleontology|science|history|animals|humor,0:18:23
Tara Djokic,570,This ancient rock is changing our theory on the origin of life,2686264,Exactly when and where did life on Earth begin Scientists have long thought that it emerged three billion years ago in the ocean  until astrobiologist Tara Djokic and her team made an unexpected discovery in the western Australian desert Learn how an ancient rock found near a hot volcanic pool is shifting our understanding of the originoflife puzzle,science|evolution|human origins|geology|astrobiology|biodiversity|nature|discovery||environment|life,0:09:30
Matt Mills,484,Image recognition that triggers augmented reality,2684782,Matt Mills and Tamara Roukaerts demonstrate Aurasma a new augmented reality tool that can seamlessly animate the world as seen through a smartphone Going beyond previous augmented reality their auras can do everything from making a painting talk to overlaying live news onto a printed newspaper,demo|design|interface design|science|technology|communication|augmented reality|art|computers|open-source|science and art|empathy|engineering|programming|innovation|code|software,0:08:04
Alex Rosenthal and Pall Thordarson,336,Which is better Soap or hand sanitizer,2684081,Your hands up close are anything but smooth With peaks and valleys folds and rifts there are plenty of hiding places for a virus to stick If you then touch your face the virus can infect you But there are two extraordinarily simple ways you can keep that from happening soap and water and hand sanitizer So which is better Alex Rosenthal and Pall Thordarson investigate Directed by Artrake Studio narrated by Addison Anderson,|education|coronavirus|animation|health|virus|public health|illness|disease|biology|science,0:05:36
Arthur Benjamin,178,Teach statistics before calculus,2680312,Someone always asks the math teacher Am I going to use calculus in real life And for most of us says Arthur Benjamin the answer is no He offers a bold proposal on how to make math education relevant in the digital age,economics|education|math|statistics,0:02:58
Matt Mullenweg,284,Why working from home is good for business,2679274,As the popularity of remote working continues to spread workers today can collaborate across cities countries and even multiple time zones How does this change office dynamics And how can we make sure that all employees both at headquarters and at home feel connected Matt Mullenweg cofounder of Wordpress and CEO of Automattic which has a 100 percent distributed workforce shares his secrets,work|work-life balance|business,0:04:44
Avi Reichental,544,Whats next in 3D printing,2677975,Just like his beloved grandfather Avi Reichental is a maker of things The difference is now he can use 3D printers to make almost anything out of almost any material Reichental tours us through the possibilities of 3D printing for everything from printed candy to highly custom sneakers,technology|manufacturing|3D printing,0:09:04
Doug Levinson,216,What gives a dollar bill its value,2675701,The value of money is determined by how much or how little of it is in circulation But who makes that decision and how does their choice affect the economy at large Doug Levinson takes a trip into the United States Federal Reserve examining how the people who work there aim to balance the value of the dollar to prevent inflation or deflation Directed by Qaed Mai narrated by Doug Levinson,|money|economics|United States|animation|democracy|history,0:03:36
Paolo Cardini,172,Forget multitasking try monotasking,2675224,People dont just cook anymore  theyre cooking texting talking on the phone watching YouTube and uploading photos of the awesome meal they just made Designer Paolo Cardini questions the efficiency of our multitasking world and makes the case for  gasp  monotasking,culture|design|humor|product design|technology,0:02:52
Beardyman,670,The polyphonic me,2669093,Frustrated by not being able to sing two notes at the same time musical inventor Beardyman built a machine to allow him to create loops and layers from just the sounds he makes with his voice Given that he can effortlessly conjure the sound of everything from crying babies to buzzing flies not to mention mimic pretty much any musical instrument imaginable thats a lot of different sounds Sit back and let the wall of sound of this dazzling performance wash over you,creativity|entertainment|music|technology|live music,0:11:10
Aaron Reedy,336,Sex determination More complicated than you thought,2667592,From something as small and complex as a chromosome to something as seemingly simple as the weather sex determination systems vary significantly across the animal kingdom Biologist and teacher Aaron Reedy shows us the amazing differences between species when it comes to determination of gender Directed by Buzzco Associates Inc narrated by Aaron Reedy,animation|sex||education|genetics|animals|gender|DNA|human body,0:05:36
Keren Elazari,999,Hackers the Internets immune system,2664749,The beauty of hackers says cybersecurity expert Keren Elazari is that they force us to evolve and improve Yes some hackers are bad guys but many are working to fight government corruption and advocate for our rights By exposing vulnerabilities they push the Internet to become stronger and healthier wielding their power to create a better world,Internet|activism|crime|hack|terrorism|encryption,0:16:39
Emma Rodero,1003,Cmo darle credibilidad a tu voz,2664584,Ser que algunas caractersticas de tu voz como su tono o timbre afectan tu credibilidad y la de tus ideas frente a los dems En esta didctica charla la Dra Emma Rodero profesora de comunicacin y artista de voice over nos muestra tcnicas para aprender a manejar las caractersticas de la voz que influyen la percepcin de nuestra autenticidad,education|language|speech|communication|sound,0:16:43
Harry Cliff,837,Have we reached the end of physics,2664355,Why is there something rather than nothing Why does so much interesting stuff exist in the universe Particle physicist Harry Cliff works on the Large Hadron Collider at CERN and he has some potentially bad news for people who seek answers to these questions Despite the best efforts of scientists and the help of the biggest machine on the planet we may never be able to explain all the weird features of nature Is this the end of physics Learn more in this fascinating talk about the latest research into the secret structure of the universe,big bang|dark matter|complexity|exploration|future|innovation|nature|physics|science|space|technology|universe|quantum physics,0:13:57
Nancy Duarte,1090,The secret structure of great talks,2663694,From the I have a dream speech to Steve Jobs iPhone launch many great talks have a common structure that helps their message resonate with listeners In this talk presentation expert Nancy Duarte shares practical lessons on how to make a powerful calltoaction,|communication|presentation|storytelling,0:18:10
Joe Kowan,483,How I beat stage fright,2653865,Humanitys finetuned sense of fear served us well as a young species giving us laser focus to avoid being eaten by competing beasts But its less wonderful when that same visceral bodyhijacking sense of fear kicks in in front of 20 folkmusic fans at a Tuesday night openmic Palms sweat hands shake vision blurs and the brain says RUN its stage fright In this charming tuneful little talk Joe Kowan talks about how he conquered it,communication|entertainment|fear,0:08:03
Sonaar Luthra,809,We need to track the worlds water like we track the weather,2649527,We need a global weather service for water says entrepreneur and TED Fellow Sonaar Luthra In a talk about environmental accountability Luthra shows how we could forecast water shortages and risks with a global data collection effort  just like we monitor the movement of storms  and better listen to what the earth is telling us,water|sustainability|climate change|resources|environment|future|science|weather|innovation|,0:13:29
Emma Bryce,276,Should we eat bugs,2647046,Whats tasty abundant and high in protein Bugs Although less common outside the tropics entomophagy the practice of eating bugs was once extremely widespread throughout cultures You may feel icky about munching on insects but they feed about 2 billion people each day Mmm fried tarantulas They also hold promise for food security and the environment Emma Bryce makes a compelling case for dining on bugs Directed by NEIGHBOR narrated by Addison Anderson,|animation|insects|science|biology|human body|food|environment|culture,0:04:36
Phil Hansen,601,Embrace the shake,2646136,In art school Phil Hansen developed an unruly tremor in his hand that kept him from creating the pointillist drawings he loved Hansen was devastated floating without a sense of purpose Until a neurologist made a simple suggestion embrace this limitation  and transcend it,disability|art|personal growth,0:10:01
Joe Gebbia,951,How Airbnb designs for trust,2644705,Joe Gebbia the cofounder of Airbnb bet his whole company on the belief that people can trust each other enough to stay in one anothers homes How did he overcome the strangerdanger bias Through good design Now 123 million hosted nights and counting later Gebbia sets out his dream for a culture of sharing in which design helps foster community and connection instead of isolation and separation,community|entrepreneur|business|collaboration|social change|behavioral economics|economics|culture|future|innovation|potential|product design|privacy|design|urban planning|technology|trust,0:15:51
Rod Phillips,296,A brief history of alcohol,2641521,Nobody knows exactly when humans began to create fermented beverages The earliest known evidence comes from 7000 BCE in China where residue in clay pots has revealed that people were making an alcoholic beverage from fermented rice millet grapes and honey So how did alcohol come to fuel global trade and exploration Roderick Phillips explores the evolution of alcohol Directed by Anton Bogaty narrated by Addison Anderson,|education|animation|history|culture|food|world cultures,0:04:56
Laura Trice,209,Remember to say thank you,2640310,In this deceptively simple 3minute talk Dr Laura Trice muses on the power of the magic words thank you  to deepen a friendship to repair a bond to make sure another person knows what they mean to you Try it,communication|culture|happiness|parenting,0:03:29
Ziauddin Yousafzai,996,My daughter Malala,2635486,Pakistani educator Ziauddin Yousafzai reminds the world of a simple truth that many dont want to hear Women and men deserve equal opportunities for education autonomy an independent identity He tells stories from his own life and the life of his daughter Malala who was shot by the Taliban in 2012 simply for daring to go to school Why is my daughter so strong Yousafzai asks Because I didnt clip her wings,education|family|feminism|global issues|women,0:16:36
Bjarke Ingels,1094,3 warpspeed architecture tales,2633052,Danish architect Bjarke Ingels rockets through photovideomingled stories of his ecoflashy designs His buildings not only look like nature  they act like nature blocking the wind collecting solar energy  and creating stunning views,architecture|cities|creativity|design|environment|green,0:18:14
Larry Page,1410,Wheres Google going next,2631706,Onstage at TED2014 Google CEO Larry Page talks about his faroff vision for the company It includes aerial bikeways and internet balloons  and then it gets even more interesting as Page talks through the companys recent acquisition of Deep Mind an AI that is learning some surprising things,AI|algorithm|business|intelligence,0:23:30
Ole Scheeren,986,Why great architecture should tell a story,2630872,For architect Ole Scheeren the people who live and work inside a building are as much a part of that building as concrete steel and glass He asks Can architecture be about collaboration and storytelling instead of the isolation and hierarchy of a typical skyscraper Visit five of Scheerens buildings  from a twisted tower in China to a floating cinema in the ocean in Thailand  and learn the stories behind them,architecture|community|cities|collaboration|creativity|design|engineering|environment|innovation|industrial design|productivity|technology|urban planning|work|public spaces,0:16:26
Anglica Dass,687,The beauty of human skin in every color,2626935,Anglica Dasss photography challenges how we think about skin color and ethnic identity In this personal talk hear about the inspiration behind her portrait project Human and her pursuit to document humanitys true colors rather than the untrue white red black and yellow associated with race,beauty|Brazil|art|community|culture|creativity|design|global issues|identity|humanity|race|Slavery|social change|society|visualizations|photography|diversity,0:11:27
Richard Turere,440,My invention that made peace with lions,2626596,In the Maasai community where Richard Turere lives with his family cattle are allimportant But lion attacks were growing more frequent In this short inspiring talk the young inventor shares the solarpowered solution he designed to safely scare the lions away,agriculture|biodiversity|technology,0:07:20
George Zaidan,254,Why is ketchup so hard to pour,2624895,Ever go to pour ketchup on your friesand nothing comes out Or the opposite happens and your plate is suddenly swimming in a sea of red George Zaidan describes the physics behind this frustrating phenomenon explaining how ketchup and other nonNewtonian fluids can suddenly transition from solid to liquid and back again Directed by TOGETHER narrated by George Zaidan,|physics|animation|food|science,0:04:14
Laura Galante,573,How and why Russia hacked the US election,2621395,Hacking fake news information bubbles  all these and more have become part of the vernacular in recent years But as cyberspace analyst Laura Galante describes in this alarming talk the real target of anyone looking to influence geopolitics is dastardly simple its you,algorithm|communication|future|computers|government|data|intelligence|global issues|policy|politics|society|technology|news|web|Internet|hack|encryption,0:09:33
Peter Calthorpe,860,7 principles for building better cities,2619058,More than half of the worlds population already lives in cities and another 25 billion people are projected to move to urban areas by 2050 The way we build new cities will be at the heart of so much that matters from climate change to economic vitality to our very wellbeing and sense of connectedness Peter Calthorpe is already at work planning the cities of the future and advocating for community design thats focused on human interaction He shares seven universal principles for solving sprawl and building smarter more sustainable cities,architecture|design|future|infrastructure|public spaces|society|transportation|urban|urban planning,0:14:20
Daniel Goldstein,959,The battle between your present and future self,2617073,Every day we make decisions that have good or bad consequences for our future selves Can I skip flossing just this one time Daniel Goldstein makes tools that help us imagine ourselves over time so that we make smart choices for Future Us,behavioral economics|business|culture|decision-making|economics|finance|self,0:15:59
Bill Schutt,270,A brief history of cannibalism,2616578,15th century Europeans believed they had hit upon a miracle cure a remedy for epilepsy hemorrhage bruising nausea and virtually any other medical ailment It was a brown powder known as mumia and was made by grinding up mummified human flesh But just how common is human cannibalism and how do cultures partake in it Bill Schutt explores the complex history of cannibalism  Directed by Basa narrated by Addison Anderson,animation||culture|world cultures|china|ancient world|history|exploration|death|Egypt|medicine,0:04:30
Emily Levine,1372,A theory of everything,2615566,Philosophercomedian Emily Levine talks hilariously about science math society and the way everything connects Shes a brilliant trickster poking holes in our fixed ideas and bringing hidden truths to light Settle in and let her ping your brain,cognitive science|comedy|entertainment|humor|philosophy|science|technology,0:22:52
Annie Murphy Paul,1006,What we learn before were born,2615230,Pop quiz When does learning begin Answer Before we are born Science writer Annie Murphy Paul talks through new research that shows how much we learn in the womb  from the lilt of our native language to our soontobefavorite foods,children|education|food|science|writing|pregnancy|culture|brain|neuroscience|evolution|mental health,0:16:46
Brian A Pavlac,310,What really happened during the Salem Witch Trials,2609459,Youve been accused of a crime you did not commit Its impossible to prove your innocence If you insist that youre innocent anyway youll likely be found guilty and executed But if you confess apologize and implicate others youll go free This was the choice facing those accused of witchcraft in Salem Massachusetts in the 17th century How did this happen Brian A Pavlac investigates Directed by Lucy Animation Studio narrated by Susan Zimmerman music by Stephen LaRosa,animation|history||education|women|religion|United States|magic,0:05:10
Carin Bondar,587,The birds and the bees are just the beginning,2606715,Think you know a thing or two about sex Think again In this fascinating talk biologist Carin Bondar lays out the surprising science behind how animals get it on This talk describes explicit and aggressive sexual content,animals|biology|sex,0:09:47
Dean Furness,734,To overcome challenges stop comparing yourself to others,2605744,When you stop comparing yourself to others you can accomplish great things says wheelchair athlete Dean Furness He shares how after losing the use of his legs in an accident he discovered a powerful new mindset focused on redefining his personal average and getting better little by little,personal growth|life|disability|humanity|sports|identity|self|motivation,0:12:14
Jenni Chang and Lisa Dazols,710,This is what LGBT life is like around the world,2602155,As a gay couple in San Francisco Jenni Chang and Lisa Dazols had a relatively easy time living the way they wanted But outside the bubble of the Bay Area what was life like for people still lacking basic rights They set off on a world tour in search of Supergays LGBT people who were doing something extraordinary in the world In 15 countries across Africa Asia and South America  from India recently home to the worlds first openly gay prince to Argentina the first country in Latin America to grant marriage equality  they found the inspiring stories and the courageous resilient and proud Supergays they had been looking for,LGBT|film|global issues|society|relationships|social change|travel|love|gender equality|Transgender,0:11:50
David Deutsch,1140,Chemical scum that dream of distant quasars,2600731,Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter the survival of our species The first step toward solving global warming he says is to admit that we have a problem,climate change|cosmos|culture|environment|global issues|physics|science|technology|universe,0:19:00
Sting,1395,How I started writing songs again,2600201,Stings early life was dominated by a shipyardand he dreamed of nothing more than escaping the industrial drudgery But after a nasty bout of writers block that stretched on for years Sting found himself channeling the stories of the shipyard workers he knew in his youth for song material In a lyrical confessional talk Sting treats us to songs from his upcoming musical and to an encore of Message in a Bottle,creativity|live music|music|performance|entertainment,0:23:15
Jeremy Howard,1185,The wonderful and terrifying implications of computers that can learn,2599152,What happens when we teach a computer how to learn Technologist Jeremy Howard shares some surprising new developments in the fastmoving field of deep learning a technique that can give computers the ability to learn Chinese or to recognize objects in photos or to help think through a medical diagnosis One deep learning tool after watching hours of YouTube taught itself the concept of cats Get caught up on a field that will change the way the computers around you behave  sooner than you probably think,AI|algorithm|computers|health|intelligence|technology|machine learning,0:19:45
Chris Urmson,929,How a driverless car sees the road,2593813,Statistically the least reliable part of the car is  the driver In 2015 Chris Urmson was head of Googles driverless car program one of several efforts to remove humans from the drivers seat He shares fascinating footage that shows how the car sees the road and makes autonomous decisions about what to do next,cars|technology|transportation|driverless cars,0:15:29
Dan Finkel,262,Can you solve the rogue AI riddle,2591484,A hostile artificial intelligence called NIM has taken over the worlds computers Youre the only person skilled enough to shut it down and youll only have one chance Can you survive and shut off the artificial intelligence Dan Finkel shows how TEDEd Animation by Artrake Studio,|math,0:04:22
Suchitra KrishnanSarin,869,What you should know about vaping and ecigarettes,2590402,Ecigarettes and vapes have exploded in popularity in the last decade especially among youth and young adults  from 2011 to 2015 ecigarette use among high school students in the US increased by 900 percent Biobehavioral scientist Suchitra KrishnanSarin explains what youre actually inhaling when you vape hint its definitely not water vapor and explores the disturbing marketing tactics being used to target kids Our health the health of our children and our future generations is far too valuable to let it go up in smoke  or even in aerosol she says ,health|science|medical research|children|addiction|public health|human body,0:14:29
Melissa Marshall,274,Talk nerdy to me,2586516,Melissa Marshall brings a message to all scientists from nonscientists Were fascinated by what youre doing So tell us about it  in a way we can understand In just 4 minutes she shares powerful tips on presenting complex scientific ideas to a general audience,communication|engineering|science|presentation|storytelling|collaboration|speech|teaching,0:04:34
Dambisa Moyo,983,Is China the new idol for emerging economies,2584039,The developed world holds up the ideals of capitalism democracy and political rights for all Those in emerging markets often dont have that luxury In this powerful talk economist Dambisa Moyo makes the case that the west cant afford to rest on its laurels and imagine others will blindly follow Instead a different model embodied by China is increasingly appealing A call for openminded political and economic cooperation in the name of transforming the world,Africa|Asia|china|democracy|economics|global issues|politics|infrastructure,0:16:23
Keith Eggener,313,The fascinating history of cemeteries ,2581461,Spindly trees rusted gates crumbling stone a solitary mourner these things come to mind when we think of cemeteries But not long ago many burial grounds were lively places with gardens and crowds of people  and for much of human history we didnt bury our dead at all How did cemeteries become what they are today Keith Eggener delves into our everevolving rituals for honoring the dead TEDEd Animation by Remus amp Kiki,history||culture|world cultures|death,0:05:13
America Ferrera,842,My identity is a superpower  not an obstacle,2578888,Hollywood needs to stop resisting what the world actually looks like says actor director and activist America Ferrera Tracing the contours of her career she calls for more authentic representation of different cultures in media  and a shift in how we tell our stories Presence creates possibility she says Who we see thriving in the world teaches us how to see ourselves how to think about our own value how to dream about our futures,film|art|business|diversity|inequality|movies|entertainment|social change|storytelling|society|identity,0:14:02
Nick Hanauer,1222,Beware fellow plutocrats the pitchforks are coming,2570027,Nick Hanauer is a rich guy an unrepentant capitalist  and he has something to say to his fellow plutocrats Wake up Growing inequality is about to push our societies into conditions resembling prerevolutionary France Hear his argument about why a dramatic increase in minimum wage could grow the middle class deliver economic prosperity  and prevent a revolution,business|economics|inequality|social change,0:20:22
Lisa Mosconi,784,How menopause affects the brain,2568781,Many of the symptoms of menopause  hot flashes night sweats insomnia memory lapses depression and anxiety  start in the brain How exactly does menopause impact cognitive health Sharing groundbreaking findings from her research neuroscientist Lisa Mosconi reveals how decreasing hormonal levels affect brain aging  and shares simple lifestyle changes you can make to support lifelong brain health,science|brain|women|health|neuroscience|medical research|human body|biology,0:13:04
Heather Lanier,816,Good and bad are incomplete stories we tell ourselves,2567601,Heather Laniers daughter Fiona has WolfHirschhorn syndrome a genetic condition that results in developmental delays  but that doesnt make her tragic angelic or any of the other stereotypes about kids like her In this talk about the beautiful complicated joyful and hard journey of raising a rare girl Lanier questions our assumptions about what makes a life good or bad challenging us to stop fixating on solutions for whatever we deem not normal and instead to take life as it comes,children|disability|family|humanity|parenting|personal growth|society|love,0:13:36
Valorie Kondos Field,949,Why winning doesnt always equal success,2567509,Valorie Kondos Field knows a lot about winning As the longtime coach of the UCLA womens gymnastics team she won championship after championship and has been widely acclaimed for her leadership In this inspiring brutally honest and at times gutwrenching talk she shares the secret to her success Hint it has nothing to do with winning,success|sports|leadership|empathy|compassion|emotions|trust|humanity|society|social change|philosophy,0:15:49
Charmian Gooch,867,Meet global corruptions hidden players,2566966,When the son of the president of a desperately poor country starts buying mansions and sportscars on an official monthly salary of 7000 Charmian Gooch suggests corruption is probably somewhere in the picture In a blistering eyeopening talk with several specific examples she details how global corruption trackers follow the money  to some surprisingly familiar faces,business|corruption|energy|global issues,0:14:27
Ben Goldacre,809,What doctors dont know about the drugs they prescribe,2565986,When a new drug gets tested the results of the trials should be published for the rest of the medical world  except much of the time negative or inconclusive findings go unreported leaving doctors and researchers in the dark In this impassioned talk Ben Goldacre explains why these unreported instances of negative data are especially misleading and dangerous,cancer|medicine|science|pharmaceuticals|medical research|data|activism|corruption|health|health care|illness|public health,0:13:29
Robin Steinberg,864,What if we ended the injustice of bail,2561575,On any given night more than 450000 people in the United States are locked up in jail simply because they dont have enough money to pay bail The sums in question are often around 500 easy for some to pay impossible for others This has real human consequences  people lose jobs homes and lives and it drives racial disparities in the legal system Robin Steinberg has a bold idea to change this In this powerful talk she outlines the plan for The Bail Project  an unprecedented national revolving bail fund to fight mass incarceration This ambitious idea is part of the Audacious Project TEDs initiative to inspire and fund global change,community|activism|inequality|justice system|law|prison|philanthropy|social change|society|United States|Audacious Project,0:14:24
Joseph Redmon,457,How computers learn to recognize objects instantly,2560235,Ten years ago researchers thought that getting a computer to tell the difference between a cat and a dog would be almost impossible Today computer vision systems do it with greater than 99 percent accuracy How Joseph Redmon works on the YOLO You Only Look Once system an opensource method of object detection that can identify objects in images and video  from zebras to stop signs  with lightningquick speed In a remarkable live demo Redmon shows off this important step forward for applications like selfdriving cars robotics and even cancer detection,algorithm|AI|computers|sight|technology,0:07:37
Neri Oxman,1056,Design at the intersection of technology and biology,2556457,Designer and architect Neri Oxman is leading the search for ways in which digital fabrication technologies can interact with the biological world Working at the intersection of computational design additive manufacturing materials engineering and synthetic biology her lab is pioneering a new age of symbiosis between microorganisms our bodies our products and even our buildings,architecture|biology|design|innovation|materials|microbiology|nature|product design|technology|manufacturing|3D printing,0:17:36
Andrew Forrest,886,A radical plan to end plastic waste,2554410,Plastic is an incredible substance for the economy  and the worst substance possible for the environment says entrepreneur Andrew Forrest In a conversation meant to spark debate Forrest and head of TED Chris Anderson discuss an ambitious plan to get the worlds biggest companies to fund an environmental revolution  and transition industry towards getting all of its plastic from recycled materials not from fossil fuels,plastic|pollution|business|oceans|future|entrepreneur|innovation|Anthropocene,0:14:46
Jen Gunter,702,Why cant we talk about periods,2553896,It shouldnt be an act of feminism to know how your body works says gynecologist and author Jen Gunter In this revelatory talk she explains how menstrual shame silences and represses  and leads to the spread of harmful misinformation and the mismanagement of pain Declaring the era of the menstrual taboos over she delivers a clear muchneeded lesson on the oncemysterious mechanics of the uterus,society|women|biology|health care|health|medicine|feminism|science|human body|social change|public health|sex,0:11:42
Aimee Mullins,1318,The opportunity of adversity,2552415,The thesaurus might equate disabled with synonyms like useless and mutilated but groundbreaking runner Aimee Mullins is out to redefine the word Defying these associations she shows how adversity  in her case being born without shinbones  actually opens the door for human potential,activism|happiness|health|prosthetics|social change|society,0:21:58
Travis Rieder,857,The agony of opioid withdrawal  and what doctors should tell patients about it,2552398,The United States accounts for five percent of the worlds population but consumes almost 70 percent of the total global opioid supply creating an epidemic that has resulted in tens of thousands of deaths each year How did we get here and what can we do about it In this personal talk Travis Rieder recounts the painful oftenhidden struggle of opioid withdrawal and reveals how doctors who are quick to prescribe and overprescribe opioids arent equipped with the tools to eventually get people off the meds,public health|community|social change|society|health|medicine|opioids|,0:14:17
Elizabeth Cox,257,What is imposter syndrome and how can you combat it,2552075,Even after writing eleven books and winning several awards Maya Angelou couldnt escape the doubt that she hadnt earned her accomplishments This feeling of fraudulence is extremely common Why cant so many of us shake feelings that our ideas and skills arent worthy of others attention Elizabeth Cox describes the psychology behind the imposter syndrome and what you can do to combat it TEDEd Animation by Sharon Coleman ,|psychology|identity|personal growth,0:04:17
Martin Pistorius,848,How my mind came back to life  and no one knew,2551424,Imagine being unable to say I am hungry I am in pain thank you or I love you  losing your ability to communicate being trapped inside your body surrounded by people yet utterly alone For 13 long years that was Martin Pistoriuss reality After contracting a brain infection at the age of twelve Pistorius lost his ability to control his movements and to speak and eventually he failed every test for mental awareness He had become a ghost But then a strange thing started to happen  his mind began to knit itself back together In this moving talk Pistorius tells how he freed himself from a life locked inside his own body,|brain|communication|health|health care|mind|speech,0:14:08
Kare Anderson,586,Be an opportunity maker,2549521,We all want to use our talents to create something meaningful with our lives But how to get started And  what if youre shy Writer Kare Anderson shares her own story of chronic shyness and how she opened up her world by helping other people use their own talents and passions,business|communication|creativity|work,0:09:46
Sebastian Wernicke,359,Lies damned lies and statistics about TEDTalks,2548559,In a brilliantly tongueincheek analysis Sebastian Wernicke turns the tools of statistical analysis on TEDTalks to come up with a metric for creating the optimum TEDTalk based on user ratings How do you rate it Jawdropping Unconvincing Or just plain Funny,comedy|entertainment|statistics|humor,0:05:59
Denis Dutton,933,A Darwinian theory of beauty,2547855,TED collaborates with animator Andrew Park to illustrate Denis Duttons provocative theory on beauty  that art music and other beautiful things far from being simply in the eye of the beholder are a core part of human nature with deep evolutionary origins,Senses|beauty|brain|culture|design|evolution|society,0:15:33
Chip Conley,742,What baby boomers can learn from millennials at work  and vice versa,2543763,For the first time ever we have five generations in the workplace at the same time says entrepreneur Chip Conley What would happen if we got intentional about how we all work together In this accessible talk Conley shows how age diversity makes companies stronger and calls for different generations to mentor each other at work with wisdom flowing from old to young and young to old alike,work|business|entrepreneur|aging|leadership|creativity|collaboration|diversity|communication|personal growth,0:12:22
Tim Flannery,840,Can seaweed help curb global warming,2543155,Its time for planetaryscale interventions to combat climate change  and environmentalist Tim Flannery thinks seaweed can help In a bold talk he shares the epic carboncapturing potential of seaweed explaining how oceangoing seaweed farms created on a massive scale could trap all the carbon we emit into the atmosphere Learn more about this potentially planetsaving solution  and the work thats still needed to get there,environment|sustainability|science|pollution|climate change|engineering|oceans|innovation|plants|biosphere|biology,0:14:00
